title,movie_id,finish,theater
"るろうに剣心 最終章 The Beginning 4DX2D
			
		",12877,,sapporo
"るろうに剣心 最終章 The Beginning IMAX
			
		",12876,,sapporo
るろうに剣心 最終章 The Beginning,12875,,sapporo
はるヲうるひと,12874,,sapporo
グリーンランド―地球最後の2日間―（字幕）,12873,,sapporo
カムバック・トゥ・ハリウッド!!（字幕）,12872,,sapporo
劇場版 少女☆歌劇 レヴュースタァライト,12822,,sapporo
「映画 賭ケグルイ 絶体絶命ロシアンルーレット」,12901,,sapporo
"劇場完全版　熊川哲也　カルミナ・ブラーナ2021
		
	",12849,6/10,sapporo
HOKUSAI,12844,,sapporo
アオラレ（字幕）,12814,,sapporo
クルエラ（吹替）,12830,6/10,sapporo
クルエラ（字幕）,12829,,sapporo
いのちの停車場,12823,,sapporo
劇場版ポリス×戦士ラブパトリーナ!〜怪盗からの挑戦！ラブでパパッとタイホせよ！〜,12841,,sapporo
地獄の花園,12825,,sapporo
女たち,12821,6/10,sapporo
美しき誘惑−現代の「画皮」−,12811,6/10,sapporo
劇場版 Fate/Grand Order -神聖円卓領域キャメロット-　後編 Paladin; Agateram,12803,,sapporo
"るろうに剣心 最終章 The Final　IMAX
			
		",12791,,sapporo
"るろうに剣心 最終章 The Final 4DX2D
			
		",12771,6/10,sapporo
るろうに剣心 最終章 The Final,12770,,sapporo
"名探偵コナン　緋色の弾丸　4DX2D
			
		",12748,6/10,sapporo
名探偵コナン　緋色の弾丸,12745,,sapporo
シン・エヴァンゲリオン劇場版,12637,,sapporo
"るろうに剣心 最終章 The Beginning 4DX2D
			
		",12877,,asahikawa
るろうに剣心 最終章 The Beginning,12875,,asahikawa
胸が鳴るのは君のせい,12871,,asahikawa
"劇場完全版　熊川哲也　カルミナ・ブラーナ2021
		
	",12849,,asahikawa
アオラレ（字幕）,12814,,asahikawa
クルエラ（吹替）,12830,,asahikawa
クルエラ（字幕）,12829,,asahikawa
地獄の花園,12825,,asahikawa
いのちの停車場,12823,,asahikawa
美しき誘惑−現代の「画皮」−,12811,,asahikawa
"るろうに剣心 最終章 The Final 4DX2D
			
		",12771,,asahikawa
るろうに剣心 最終章 The Final,12770,,asahikawa
名探偵コナン　緋色の弾丸,12745,,asahikawa
シン・エヴァンゲリオン劇場版,12637,,asahikawa
劇場版「鬼滅の刃」無限列車編,12186,,asahikawa
るろうに剣心 最終章 The Beginning,12875,,ogawara
はるヲうるひと,12874,,ogawara
HOKUSAI,12844,,ogawara
アオラレ（字幕）,12814,,ogawara
クルエラ（吹替）,12830,,ogawara
クルエラ（字幕）,12829,,ogawara
地獄の花園,12825,,ogawara
いのちの停車場,12823,,ogawara
るろうに剣心 最終章 The Final,12770,,ogawara
名探偵コナン　緋色の弾丸,12745,,ogawara
シン・エヴァンゲリオン劇場版,12637,,ogawara
劇場版「鬼滅の刃」無限列車編,12186,,ogawara
"るろうに剣心 最終章 The Beginning 4DX2D
			
		",12877,,mito
るろうに剣心 最終章 The Beginning,12875,,mito
"るろうに剣心 最終章 The Final 4DX2D
			
		",12771,,mito
るろうに剣心 最終章 The Final,12770,,mito
クルエラ（吹替）,12830,6/10,mito
クルエラ（字幕）,12829,,mito
胸が鳴るのは君のせい,12871,,mito
映画大好きポンポさん,12870,,mito
"名探偵コナン　緋色の弾丸　4DX2D
			
		",12748,6/10,mito
名探偵コナン　緋色の弾丸,12745,,mito
"劇場完全版　熊川哲也　カルミナ・ブラーナ2021
		
	",12849,6/10,mito
アオラレ（字幕）,12814,,mito
いのちの停車場,12823,,mito
劇場版ポリス×戦士ラブパトリーナ!〜怪盗からの挑戦！ラブでパパッとタイホせよ！〜,12841,,mito
地獄の花園,12825,,mito
シン・エヴァンゲリオン劇場版,12637,,mito
美しき誘惑−現代の「画皮」−,12811,6/10,mito
劇場版 Fate/Grand Order -神聖円卓領域キャメロット-　後編 Paladin; Agateram,12803,,mito
劇場版「鬼滅の刃」無限列車編,12186,,mito
るろうに剣心 最終章 The Beginning,12875,,tsukuba
るろうに剣心 最終章 The Final,12770,,tsukuba
クルエラ（吹替）,12830,,tsukuba
クルエラ（字幕）,12829,,tsukuba
はるヲうるひと,12874,,tsukuba
カムバック・トゥ・ハリウッド!!（字幕）,12872,,tsukuba
"劇場完全版　熊川哲也　カルミナ・ブラーナ2021
		
	",12849,6/10,tsukuba
"午前十時の映画祭　マディソン郡の橋（字幕）
		
	",12695,6/10,tsukuba
"特別上映　ムーンライト（字幕）【クラブスパイス会員500円】
		
	",12862,6/10,tsukuba
劇場版ポリス×戦士ラブパトリーナ!〜怪盗からの挑戦！ラブでパパッとタイホせよ！〜,12841,,tsukuba
地獄の花園,12825,,tsukuba
いのちの停車場,12823,,tsukuba
美しき誘惑−現代の「画皮」−,12811,,tsukuba
名探偵コナン　緋色の弾丸,12745,,tsukuba
シン・エヴァンゲリオン劇場版,12637,,tsukuba
劇場版「鬼滅の刃」無限列車編,12186,,tsukuba
るろうに剣心 最終章 The Beginning,12875,,ashikaga
はるヲうるひと,12874,,ashikaga
"劇場完全版　熊川哲也　カルミナ・ブラーナ2021
		
	",12849,6/10,ashikaga
HOKUSAI,12844,,ashikaga
"午前十時の映画祭　ノッティングヒルの恋人（字幕）
		
	",12696,6/10,ashikaga
クルエラ（吹替）,12830,,ashikaga
クルエラ（字幕）,12829,,ashikaga
地獄の花園,12825,,ashikaga
いのちの停車場,12823,,ashikaga
美しき誘惑−現代の「画皮」−,12811,,ashikaga
るろうに剣心 最終章 The Final,12770,,ashikaga
名探偵コナン　緋色の弾丸,12745,,ashikaga
シン・エヴァンゲリオン劇場版,12637,,ashikaga
劇場版「鬼滅の刃」無限列車編,12186,,ashikaga
"るろうに剣心 最終章 The Beginning 4DX2D
			
		",12877,,maebashi
るろうに剣心 最終章 The Beginning,12875,,maebashi
はるヲうるひと,12874,,maebashi
胸が鳴るのは君のせい,12871,,maebashi
2gether THE MOVIE（字幕）,12866,,maebashi
「映画 賭ケグルイ 絶体絶命ロシアンルーレット」,12901,,maebashi
"劇場完全版　熊川哲也　カルミナ・ブラーナ2021
		
	",12849,6/10,maebashi
アオラレ（字幕）,12814,,maebashi
クルエラ（吹替）,12830,6/10,maebashi
クルエラ（字幕）,12829,,maebashi
地獄の花園,12825,,maebashi
いのちの停車場,12823,,maebashi
劇場版 Fate/Grand Order -神聖円卓領域キャメロット-　後編 Paladin; Agateram,12803,,maebashi
美しき誘惑−現代の「画皮」−,12811,6/10,maebashi
"るろうに剣心 最終章 The Final 4DX2D
			
		",12771,6/10,maebashi
るろうに剣心 最終章 The Final,12770,,maebashi
名探偵コナン　緋色の弾丸,12745,,maebashi
シン・エヴァンゲリオン劇場版,12637,,maebashi
シン・エヴァンゲリオン劇場版,12637,,urawa
"るろうに剣心 最終章 The Beginning IMAX
			
		",12876,,urawa
るろうに剣心 最終章 The Beginning,12875,,urawa
はるヲうるひと,12874,,urawa
